program,coefficient,standard_error,z_score,p_value,n_genes,q_value,n_program_genes,trait,level
CGE_291,-0.09625803040362721,0.22165018283050408,-0.43427904806753864,0.6640858166293921,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Midi_440,-0.1379615615021264,0.3187730012428558,-0.4327893546951331,0.6651678077012066,18506,0.9870074201167115,49,AD_FinnGen_R11,cluster
ULIT_130,-0.09540609679035462,0.2211425635172509,-0.43142427148607143,0.6661599049147726,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
ULIT_127,-0.09573371451982544,0.2225995689681486,-0.43007142809662774,0.6671436832481492,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_248,-0.0953721703623517,0.2218905663393788,-0.4298162465207339,0.6673293137501453,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_243,-0.09579989472466241,0.2230721012409202,-0.4294570867075732,0.6675906171703851,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_340,-0.10674646384607483,0.24877470259091997,-0.429088901461201,0.6678585288009446,18506,0.9870074201167115,78,AD_FinnGen_R11,cluster
LRL_317,-0.15186150834016804,0.35436370946463785,-0.4285470105547656,0.6682529151141153,18506,0.9870074201167115,38,AD_FinnGen_R11,cluster
MGE_262,-0.11472881108342836,0.26870719534059945,-0.42696590591109407,0.6694041607442117,18506,0.9870074201167115,65,AD_FinnGen_R11,cluster
DLNP_85,-0.11513420159581887,0.27050639415694727,-0.4256246953224264,0.6703813424848709,18506,0.9870074201167115,66,AD_FinnGen_R11,cluster
CGE_279,-0.0958172137032589,0.22610238950136702,-0.42377797914727294,0.6717277392204606,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CGE_285,-0.09403514440661015,0.2229460417619251,-0.42178318391997194,0.673183281021628,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_348,-0.09339378843104225,0.22209673725811804,-0.420509502228757,0.6741132892423665,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Thex_447,-0.09369162439381117,0.222859738695042,-0.42040623821253514,0.6741887117099836,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Mmb_323,-0.09310240177150565,0.22158123199367374,-0.42017277787366364,0.6743592396608422,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_418,-0.09294645957654743,0.22162100194255147,-0.4193937360685461,0.6749284012288609,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MSN_212,-0.09344336484347864,0.22333091514812353,-0.4184076565553077,0.6756490895167993,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
EMSN_229,-0.09207378523554496,0.22038263621363943,-0.417790561077999,0.6761002526363331,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_377,-0.09256337911105597,0.2216582859420406,-0.41759494222096083,0.676243295336425,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Thex_458,-0.09274406058360121,0.22255420157185407,-0.4167257231207912,0.6768790371149838,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLIT_141,-0.09174164237137132,0.22028950106811762,-0.4164594405386714,0.6770738407476057,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_354,-0.09162896594901824,0.22033869610596366,-0.4158550943281116,0.677516040818686,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_235,-0.09085992763906894,0.2195361793463665,-0.41387222784686195,0.6789676839351877,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Fbl_31,-0.11040297405836372,0.26780846851138096,-0.41224601549025314,0.6801591127125807,18506,0.9870074201167115,66,AD_FinnGen_R11,cluster
ULIT_125,-0.0926155732979852,0.225109425006943,-0.41142468066420884,0.6807611595832059,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
ULIT_128,-0.09113078032111768,0.221582766228215,-0.41127196790773546,0.6808731220472639,18506,0.9870074201167115,98,AD_FinnGen_R11,cluster
MSN_208,-0.10514573516345951,0.2563189979305616,-0.4102143657410214,0.6816487036103089,18506,0.9870074201167115,75,AD_FinnGen_R11,cluster
MGE_253,-0.09197143729129931,0.22429102488639277,-0.4100540239534079,0.6817663179926752,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MSN_217,-0.09134155566485,0.22426654845171534,-0.40728880966668235,0.6837958806907856,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Midi_436,-0.09038603045525612,0.22198530282759668,-0.4071712374825724,0.6838822250069012,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLCT6b_105,-0.09991729732834483,0.24561025055874353,-0.40681240746687497,0.6841457732016617,18506,0.9870074201167115,80,AD_FinnGen_R11,cluster
MSN_430,-0.09003723197865737,0.2213248459298572,-0.40681032262953515,0.6841473045547894,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Epen_66,-0.11794175841058702,0.29086247917491154,-0.40548976528410247,0.6851175400449859,18506,0.9870074201167115,59,AD_FinnGen_R11,cluster
Splat_387,-0.08994351352801347,0.22211109367302165,-0.40494831681132865,0.6855155015609213,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_334,-0.09017760348172352,0.22268953079960052,-0.40494765585938036,0.6855159874101532,18506,0.9870074201167115,99,AD_FinnGen_R11,cluster
Fbl_28,-0.09241467198775229,0.2290111670312249,-0.40353784134531684,0.6865526024376735,18506,0.9870074201167115,91,AD_FinnGen_R11,cluster
Splat_360,-0.08988528590300855,0.22309637278229558,-0.4028989121697708,0.6870225916374668,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Amex_160,-0.08959777346533321,0.22339713522637172,-0.401069249379693,0.6883691400836554,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CA13_180,-0.08879462758811973,0.22174274531079646,-0.4004398315880163,0.6888325916038793,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Misc_170,-0.09864075749328072,0.24698718291816843,-0.39937601752380114,0.6896161623374077,18506,0.9870074201167115,81,AD_FinnGen_R11,cluster
CGE_294,-0.08835152592462747,0.221676951868338,-0.39855981950303365,0.6902175729531095,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Epen_73,-0.09271477704099992,0.2333119580981027,-0.3973854482075682,0.6910832446259738,18506,0.9870074201167115,88,AD_FinnGen_R11,cluster
Splat_425,-0.09111874893430576,0.2292960896662686,-0.3973846613212004,0.6910838248040347,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Midi_433,-0.08920038803915213,0.22463046317018298,-0.3970983578107692,0.6912949308742109,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_380,-0.08595528152539808,0.2175037640313699,-0.39518985755575714,0.6927027772859333,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
LLC_269,-0.09944557559966763,0.2518271061067105,-0.39489623312267,0.6929194700795183,18506,0.9870074201167115,79,AD_FinnGen_R11,cluster
DLCT6b_109,-0.08647833268679406,0.2194468890743784,-0.39407408804726074,0.6935263410643355,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
VendA_18,-0.09864105055789063,0.251030325935167,-0.3929447575324681,0.6943602832188644,18506,0.9870074201167115,76,AD_FinnGen_R11,cluster
DG_201,0.16947416035316176,0.43140818693471067,0.39283946268458275,0.6944380559625718,18506,0.9870074201167115,27,AD_FinnGen_R11,cluster
DLIT_143,-0.08727813311866024,0.22227248425122825,-0.3926627869062383,0.6945685592236199,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_383,-0.08735438157499677,0.22253880249306962,-0.3925355066009991,0.6946625816548553,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
